move,X,Y,Z,E,F,A,command,line,,,,,
TRUE,134.521,66.395,0.2,0.01972,1200,0,0,0,G1,G1 X134.521 Y66.395 E0.01972,,,
TRUE,133.978,66.632,0.2,0.01971,1200,0,0,0,G1,G1 X133.978 Y66.632 E0.01971,,,
TRUE,133.407,66.795,0.2,0.01975,1200,0,0,0,G1,G1 X133.407 Y66.795 E0.01975,,,
TRUE,132.521,66.9,0.2,0.02967,1200,0,0,0,G1,G1 X132.521 Y66.9 E0.02967,,,
TRUE,118.15,66.9,0.2,0.47798,1200,0,0,0,G1,G1 X118.15 Y66.9 E0.47798,,,
TRUE,117.452,66.891,0.2,0.02322,1200,0,0,0,G1,G1 X117.452 Y66.891 E0.02322,,,
TRUE,116.861,66.843,0.2,0.01972,1200,0,0,0,G1,G1 X116.861 Y66.843 E0.01972,,,
TRUE,116.282,66.716,0.2,0.01972,1200,0,0,0,G1,G1 X116.282 Y66.716 E0.01972,,,
TRUE,115.725,66.513,0.2,0.01972,1200,0,0,0,G1,G1 X115.725 Y66.513 E0.01972,,,
TRUE,115.2,66.237,0.2,0.01973,1200,0,0,0,G1,G1 X115.2 Y66.237 E0.01973,,,
TRUE,114.718,65.892,0.2,0.01971,1200,0,0,0,G1,G1 X114.718 Y65.892 E0.01971,,,
TRUE,114.286,65.486,0.2,0.01972,1200,0,0,0,G1,G1 X114.286 Y65.486 E0.01972,,,
TRUE,113.912,65.025,0.2,0.01974,1200,0,0,0,G1,G1 X113.912 Y65.025 E0.01974,,,
TRUE,113.604,64.519,0.2,0.0197,1200,0,0,0,G1,G1 X113.604 Y64.519 E0.0197,,,
TRUE,113.367,63.975,0.2,0.01974,1200,0,0,0,G1,G1 X113.367 Y63.975 E0.01974,,,
TRUE,113.205,63.405,0.2,0.01971,1200,0,0,0,G1,G1 X113.205 Y63.405 E0.01971,,,
TRUE,113.1,62.517,0.2,0.02974,1200,0,0,0,G1,G1 X113.1 Y62.517 E0.02974,,,
TRUE,113.1,48.114,0.2,0.47905,1200,0,0,0,G1,G1 X113.1 Y48.114 E0.47905,,,
TRUE,113.109,47.449,0.2,0.02212,1200,0,0,0,G1,G1 X113.109 Y47.449 E0.02212,,,
TRUE,113.157,46.858,0.2,0.01972,1200,0,0,0,G1,G1 X113.157 Y46.858 E0.01972,,,
TRUE,113.284,46.279,0.2,0.01972,1200,0,0,0,G1,G1 X113.284 Y46.279 E0.01972,,,
TRUE,113.488,45.722,0.2,0.01973,1200,0,0,0,G1,G1 X113.488 Y45.722 E0.01973,,,
TRUE,113.886,45.813,0.2,0.01973,3600,0,0,0,G0,G0 F3600 X113.886 Y45.813,,,
TRUE,114.162,45.319,0.2,0.01882,1200,0,0,0,G1,G1 F1200 X114.162 Y45.319 E0.01882,,,
TRUE,114.504,44.869,0.2,0.0188,1200,0,0,0,G1,G1 X114.504 Y44.869 E0.0188,,,
TRUE,114.906,44.472,0.2,0.01879,1200,0,0,0,G1,G1 X114.906 Y44.472 E0.01879,,,
TRUE,115.36,44.135,0.2,0.01881,1200,0,0,0,G1,G1 X115.36 Y44.135 E0.01881,,,
TRUE,115.857,43.866,0.2,0.0188,1200,0,0,0,G1,G1 X115.857 Y43.866 E0.0188,,,
TRUE,116.387,43.669,0.2,0.01881,1200,0,0,0,G1,G1 X116.387 Y43.669 E0.01881,,,
TRUE,116.94,43.55,0.2,0.01881,1200,0,0,0,G1,G1 X116.94 Y43.55 E0.01881,,,
TRUE,117.526,43.5,0.2,0.01956,1200,0,0,0,G1,G1 X117.526 Y43.5 E0.01956,,,
TRUE,131.85,43.5,0.2,0.47642,1200,0,0,0,G1,G1 X131.85 Y43.5 E0.47642,,,
TRUE,132.548,43.51,0.2,0.02322,1200,0,0,0,G1,G1 X132.548 Y43.51 E0.02322,,,
TRUE,133.112,43.558,0.2,0.01883,1200,0,0,0,G1,G1 X133.112 Y43.558 E0.01883,,,
TRUE,133.662,43.685,0.2,0.01877,1200,0,0,0,G1,G1 X133.662 Y43.685 E0.01877,,,
TRUE,134.19,43.889,0.2,0.01883,1200,0,0,0,G1,G1 X134.19 Y43.889 E0.01883,,,
TRUE,134.684,44.164,0.2,0.0188,1200,0,0,0,G1,G1 X134.684 Y44.164 E0.0188,,,
TRUE,135.133,44.507,0.2,0.01879,1200,0,0,0,G1,G1 X135.133 Y44.507 E0.01879,,,
TRUE,135.53,44.909,0.2,0.01879,1200,0,0,0,G1,G1 X135.53 Y44.909 E0.01879,,,
TRUE,135.867,45.364,0.2,0.01883,1200,0,0,0,G1,G1 X135.867 Y45.364 E0.01883,,,
TRUE,136.135,45.861,0.2,0.01878,1200,0,0,0,G1,G1 X136.135 Y45.861 E0.01878,,,
TRUE,136.331,46.391,0.2,0.01879,1200,0,0,0,G1,G1 X136.331 Y46.391 E0.01879,,,
TRUE,136.451,46.944,0.2,0.01882,1200,0,0,0,G1,G1 X136.451 Y46.944 E0.01882,,,
TRUE,136.5,47.529,0.2,0.01953,1200,0,0,0,G1,G1 X136.5 Y47.529 E0.01953,,,
TRUE,136.5,61.814,0.2,0.47512,1200,0,0,0,G1,G1 X136.5 Y61.814 E0.47512,,,
TRUE,136.491,62.541,0.2,0.02418,1200,0,0,0,G1,G1 X136.491 Y62.541 E0.02418,,,
TRUE,136.444,63.104,0.2,0.01879,1200,0,0,0,G1,G1 X136.444 Y63.104 E0.01879,,,
TRUE,136.318,63.655,0.2,0.0188,1200,0,0,0,G1,G1 X136.318 Y63.655 E0.0188,,,
TRUE,136.116,64.183,0.2,0.0188,1200,0,0,0,G1,G1 X136.116 Y64.183 E0.0188,,,
TRUE,135.841,64.677,0.2,0.0188,1200,0,0,0,G1,G1 X135.841 Y64.677 E0.0188,,,
TRUE,135.499,65.127,0.2,0.0188,1200,0,0,0,G1,G1 X135.499 Y65.127 E0.0188,,,
TRUE,135.097,65.525,0.2,0.01882,1200,0,0,0,G1,G1 X135.097 Y65.525 E0.01882,,,
TRUE,134.644,65.862,0.2,0.01878,1200,0,0,0,G1,G1 X134.644 Y65.862 E0.01878,,,
TRUE,134.147,66.132,0.2,0.01881,1200,0,0,0,G1,G1 X134.147 Y66.132 E0.01881,,,
TRUE,133.617,66.329,0.2,0.01881,1200,0,0,0,G1,G1 X133.617 Y66.329 E0.01881,,,
TRUE,133.065,66.45,0.2,0.0188,1200,0,0,0,G1,G1 X133.065 Y66.45 E0.0188,,,
TRUE,132.473,66.5,0.2,0.01976,1200,0,0,0,G1,G1 X132.473 Y66.5 E0.01976,,,
TRUE,118.155,66.5,0.2,0.47622,1200,0,0,0,G1,G1 X118.155 Y66.5 E0.47622,,,
TRUE,117.457,66.491,0.2,0.02322,1200,0,0,0,G1,G1 X117.457 Y66.491 E0.02322,,,
TRUE,116.894,66.443,0.2,0.01879,1200,0,0,0,G1,G1 X116.894 Y66.443 E0.01879,,,
TRUE,116.343,66.317,0.2,0.0188,1200,0,0,0,G1,G1 X116.343 Y66.317 E0.0188,,,
TRUE,115.815,66.115,0.2,0.0188,1200,0,0,0,G1,G1 X115.815 Y66.115 E0.0188,,,
TRUE,115.321,65.84,0.2,0.0188,1200,0,0,0,G1,G1 X115.321 Y65.84 E0.0188,,,
TRUE,114.871,65.498,0.2,0.0188,1200,0,0,0,G1,G1 X114.871 Y65.498 E0.0188,,,
TRUE,114.473,65.096,0.2,0.01882,1200,0,0,0,G1,G1 X114.473 Y65.096 E0.01882,,,
TRUE,114.137,64.642,0.2,0.01879,1200,0,0,0,G1,G1 X114.137 Y64.642 E0.01879,,,
TRUE,113.867,64.145,0.2,0.01881,1200,0,0,0,G1,G1 X113.867 Y64.145 E0.01881,,,
TRUE,113.67,63.615,0.2,0.01881,1200,0,0,0,G1,G1 X113.67 Y63.615 E0.01881,,,
TRUE,113.55,63.063,0.2,0.01879,1200,0,0,0,G1,G1 X113.55 Y63.063 E0.01879,,,
TRUE,113.501,62.495,0.2,0.01896,1200,0,0,0,G1,G1 X113.501 Y62.495 E0.01896,,,
TRUE,113.5,48.12,0.2,0.47811,1200,0,0,0,G1,G1 X113.5 Y48.12 E0.47811,,,
TRUE,113.509,47.455,0.2,0.02212,1200,0,0,0,G1,G1 X113.509 Y47.455 E0.02212,,,
TRUE,113.557,46.892,0.2,0.01879,1200,0,0,0,G1,G1 X113.557 Y46.892 E0.01879,,,
TRUE,113.683,46.341,0.2,0.0188,1200,0,0,0,G1,G1 X113.683 Y46.341 E0.0188,,,
TRUE,113.886,45.813,0.2,0.01881,1200,0,0,0,G1,G1 X113.886 Y45.813 E0.01881,,,
TRUE,114.285,45.908,0.2,0.01881,3600,0,0,0,G0,G0 F3600 X114.285 Y45.908,,,
TRUE,114.558,45.447,0.2,0.01782,1200,0,0,0,G1,G1 F1200 X114.558 Y45.447 E0.01782,,,
TRUE,114.897,45.031,0.2,0.01785,1200,0,0,0,G1,G1 X114.897 Y45.031 E0.01785,,,
TRUE,115.294,44.671,0.2,0.01782,1200,0,0,0,G1,G1 X115.294 Y44.671 E0.01782,,,
TRUE,115.741,44.373,0.2,0.01787,1200,0,0,0,G1,G1 X115.741 Y44.373 E0.01787,,,
TRUE,116.226,44.145,0.2,0.01782,1200,0,0,0,G1,G1 X116.226 Y44.145 E0.01782,,,
TRUE,116.74,43.992,0.2,0.01784,1200,0,0,0,G1,G1 X116.74 Y43.992 E0.01784,,,
TRUE,117.481,43.901,0.2,0.02483,1200,0,0,0,G1,G1 X117.481 Y43.901 E0.02483,,,
TRUE,131.845,43.9,0.2,0.47775,1200,0,0,0,G1,G1 X131.845 Y43.9 E0.47775,,,
TRUE,132.543,43.91,0.2,0.02322,1200,0,0,0,G1,G1 X132.543 Y43.91 E0.02322,,,
TRUE,133.077,43.958,0.2,0.01783,1200,0,0,0,G1,G1 X133.077 Y43.958 E0.01783,,,
TRUE,133.598,44.084,0.2,0.01783,1200,0,0,0,G1,G1 X133.598 Y44.084 E0.01783,,,
TRUE,134.095,44.287,0.2,0.01786,1200,0,0,0,G1,G1 X134.095 Y44.287 E0.01786,,,
TRUE,134.556,44.561,0.2,0.01784,1200,0,0,0,G1,G1 X134.556 Y44.561 E0.01784,,,
TRUE,134.971,44.9,0.2,0.01782,1200,0,0,0,G1,G1 X134.971 Y44.9 E0.01782,,,
TRUE,135.331,45.298,0.2,0.01785,1200,0,0,0,G1,G1 X135.331 Y45.298 E0.01785,,,
TRUE,135.628,45.744,0.2,0.01782,1200,0,0,0,G1,G1 X135.628 Y45.744 E0.01782,,,
TRUE,135.856,46.23,0.2,0.01785,1200,0,0,0,G1,G1 X135.856 Y46.23 E0.01785,,,
TRUE,136.008,46.744,0.2,0.01783,1200,0,0,0,G1,G1 X136.008 Y46.744 E0.01783,,,
TRUE,136.099,47.482,0.2,0.02473,1200,0,0,0,G1,G1 X136.099 Y47.482 E0.02473,,,
TRUE,136.1,61.809,0.2,0.47652,1200,0,0,0,G1,G1 X136.1 Y61.809 E0.47652,,,
TRUE,136.091,62.536,0.2,0.02418,1200,0,0,0,G1,G1 X136.091 Y62.536 E0.02418,,,
TRUE,136.044,63.07,0.2,0.01783,1200,0,0,0,G1,G1 X136.044 Y63.07 E0.01783,,,
TRUE,135.919,63.591,0.2,0.01782,1200,0,0,0,G1,G1 X135.919 Y63.591 E0.01782,,,
TRUE,135.717,64.088,0.2,0.01784,1200,0,0,0,G1,G1 X135.717 Y64.088 E0.01784,,,
TRUE,135.444,64.55,0.2,0.01785,1200,0,0,0,G1,G1 X135.444 Y64.55 E0.01785,,,
TRUE,135.106,64.966,0.2,0.01783,1200,0,0,0,G1,G1 X135.106 Y64.966 E0.01783,,,
TRUE,134.709,65.327,0.2,0.01785,1200,0,0,0,G1,G1 X134.709 Y65.327 E0.01785,,,
